Measles_immu,Physicians_per1000_people,Hospital_bed,HepB3_immu,TB_incidence,Crude_death_rate,Road_traffic_mortality,Death_comm_disease,Fertility_rate,Crude_birth_rate,Life_expectancy
74.19232668230279,1.1578129336645928,2.535884848432319,74.50532154445474,177.1578947368421,8.194539233609264,18.888738048081095,24.044739426124913,2.8616010035126056,23.121256044157917,66.80188211361896
88.02454949989655,2.789725174478419,6.47714779234735,85.09822908804396,129.42046267982556,9.123033082266199,7.519247100972757,6.297173043634329,1.6538647859812068,11.854446597376644,77.54818036088324
72.86872897226728,1.3575107769389656,3.244981495517698,75.19742047225587,156.52631578947367,8.55903612928192,17.779255823912802,23.96312582328472,2.8313248942206126,22.383796558723574,67.99578826094474
40.75,0.20220000000000002,0.40327222214724445,65.0,189.05263157894737,11.779111111111112,15.3,47.15,6.764611111111112,44.612305555555565,55.81255555555555
93.88888888888889,1.319780769230769,3.4105600039140693,97.36,18.31578947368421,6.403138888888888,14.35,4.1,2.280305555555556,17.783805555555553,74.28655555555557
86.02941176470588,1.1032307692307692,2.248037469388855,90.8,74.21052631578948,5.495250000000001,23.8,16.65,3.5501111111111117,26.45075,70.75338888888889
79.6847858033274,0.7765,3.6828809890515046,82.55310291246273,6.8842105263157904,4.433333333333333,16.588048382057412,24.660162369151575,3.2755947510283607,18.6,68.0899478887123
96.18181818181819,2.9391666666666665,2.9054545402636367,88.68181818181819,9.921052631578949,3.4899999999999998,7.6,24.660162369151575,1.226,10.903571428571428,68.0899478887123
47.75,0.0947,1.0456500292,51.333333333333336,359.7368421052632,15.870000000000001,25.25,67.55,6.638416666666667,47.491527777777776,49.90122222222221
92.69444444444444,1.3297555555555554,3.06780001520625,97.55555555555556,5.036842105263158,6.426555555555557,7.300000000000001,12.799999999999999,2.079638888888889,18.07361111111111,73.7483888888889
91.33333333333333,3.1475333333333335,4.418429965970001,87.23529411764706,28.36842105263158,7.908055555555554,13.8,14.424999999999999,2.629083333333333,19.914722222222224,73.54958333333335
94.29629629629629,2.03202962962963,6.350215604900015,88.47368421052632,59.36842105263158,8.839638888888889,17.700000000000003,3.825,1.9847777777777778,16.963277777777776,71.30847222222222
79.6847858033274,1.12,3.6828809890515046,82.55310291246273,9.794736842105262,7.422972222222222,16.588048382057412,24.660162369151575,1.9856388888888885,15.192722222222224,74.20980555555556
87.38888888888889,2.6713343750000003,7.444583253860856,93.61111111111111,6.310526315789473,6.788888888888889,5.5,4.325,1.8394444444444444,13.86111111111111,79.3477642276423
72.61111111111111,4.178517857142857,8.83103440383208,82.05263157894737,10.510526315789473,9.988888888888887,5.300000000000001,2.525,1.4405555555555556,10.427777777777779,78.07073170731707
76.37037037037037,3.6733333333333333,8.576265525813836,75.17647058823529,84.0,6.208333333333334,9.35,12.025000000000002,2.258002777777778,19.566666666666666,67.81672222222224
88.47222222222223,1.6478666666666666,3.3602294164529414,89.61111111111111,17.05263157894737,6.0812777777777764,13.8,18.424999999999997,2.215,19.004416666666668,71.39052777777779
92.27777777777777,0.9770599999999998,2.478794120341702,95.70370370370371,25.36842105263158,2.8857222222222223,8.0,7.225,2.931083333333333,22.411583333333333,74.30808333333334
68.44444444444444,0.33401304347826083,0.40409090865627384,81.5,221.0,7.8792222222222215,14.45,34.125,3.395888888888889,27.94797222222222,64.51069444444445
89.38888888888889,1.4791700000000003,6.551971401485715,85.72222222222223,2.1694736842105264,8.042277777777777,6.15,12.4,1.735,13.842083333333331,76.72125
97.85185185185185,3.5240923076923076,12.164565527029655,93.57894736842105,62.05263157894737,12.70277777777778,11.3,2.3499999999999996,1.596833333333333,11.880555555555555,70.38477642276422
84.08333333333333,3.0619228571428567,7.212499980136239,78.36363636363636,10.799999999999999,10.208333333333334,6.25,7.575000000000001,1.6663888888888887,11.530555555555559,78.03887533875339
84.13888888888889,0.6859692307692308,1.6414888991218155,94.47368421052632,37.26315789473684,5.280444444444445,26.35,18.2,3.6017777777777784,29.562388888888886,71.053
62.205882352941174,0.07268235294117648,0.42372500151675335,72.17647058823529,69.05263157894737,12.580555555555556,27.6,58.225,5.9775277777777776,42.2721388888889,56.105888888888884
79.6847858033274,1.483,6.3000001907,82.55310291246273,3.073684210526316,7.335714285714286,16.588048382057412,24.660162369151575,1.704,12.553571428571429,79.4330804878049
81.44444444444444,0.25812,1.5741555518491286,90.0,195.05263157894737,9.675944444444445,16.25,26.275,3.779722222222223,28.196250000000003,60.81522222222222
72.0,0.72431,1.1856285708357142,85.36842105263158,141.8421052631579,9.890777777777778,19.35,27.025,4.00886111111111,29.930000000000007,62.32380555555557
79.88888888888889,1.60886,3.8322239875788013,83.8,54.473684210526315,8.637888888888888,16.7,2.15,1.5366388888888889,11.778861111111109,73.88583333333334
91.30555555555556,0.31520000000000004,1.9550399923400001,88.33333333333333,576.4736842105264,9.965361111111113,23.700000000000003,56.625,3.7079166666666663,31.072999999999997,58.182750000000006
88.47222222222223,1.4699714285714285,2.7012999971725526,77.84,46.578947368421055,6.519222222222222,21.549999999999997,14.65,2.3824722222222223,20.297972222222217,70.1108888888889
79.6847858033274,1.4453796170832989,3.6828809890515046,82.55310291246273,2.6368421052631574,8.886020069957274,16.588048382057412,24.660162369151575,3.2755947510283607,24.32676347579796,68.0899478887123
97.19444444444444,1.2459611111111113,2.71799999046,97.79310344827586,66.94736842105263,4.023833333333333,8.0,8.424999999999999,2.5436111111111113,22.83519444444444,72.58291666666668
